Recency,Frequency,Monetary,Cluster
31,6,3089.91,Cluster #2
240,3,90.2,Cluster #1
10,1,999.15,Cluster #0
302,1,294.4,Cluster #1
28,7,1130.94,Cluster #2
195,1,29.300000000000004,Cluster #1
224,1,682.69,Cluster #1
206,1,219.0,Cluster #1
237,2,1086.56,Cluster #1
25,1,3315.41,Cluster #0
142,1,369.06,Cluster #1
49,4,3224.13,Cluster #2
44,3,1843.16,Cluster #0
279,1,174.9,Cluster #1
27,9,3655.7,Cluster #2
101,2,484.5,Cluster #1
32,2,810.96,Cluster #0
283,1,307.94,Cluster #1
43,4,2602.41,Cluster #0
51,1,1300.46,Cluster #0
63,3,938.34,Cluster #0
303,1,299.1,Cluster #1
17,1,531.73,Cluster #0
2,2,283.3,Cluster #0
307,2,1472.52,Cluster #1
121,1,3396.64,Cluster #0
73,2,736.44,Cluster #0
13,4,1738.25,Cluster #2
25,4,1159.2,Cluster #0
176,5,1211.84,Cluster #0
20,2,286.32,Cluster #0
358,1,215.7,Cluster #1
7,6,2466.7000000000003,Cluster #2
71,1,407.74,Cluster #1
13,1,428.11,Cluster #0
64,4,1193.5,Cluster #0
209,1,331.18,Cluster #1
11,12,1844.57,Cluster #2
27,2,1720.01,Cluster #0
37,1,1349.44,Cluster #0
111,4,729.15,Cluster #0
295,1,32.85,Cluster #1
315,1,195.6,Cluster #1
41,1,92.9,Cluster #1
140,1,1104.8700000000001,Cluster #1
13,2,2871.78,Cluster #0
41,5,1085.01,Cluster #0
24,5,1869.47,Cluster #2
70,3,1646.79,Cluster #0
300,1,274.23,Cluster #1
66,3,1115.04,Cluster #0
58,3,545.2,Cluster #0
209,3,343.65,Cluster #1
16,11,3756.06,Cluster #2
31,8,1931.8700000000001,Cluster #2
104,1,418.16,Cluster #1
55,1,380.3,Cluster #1
7,4,607.57,Cluster #0
87,3,645.3100000000001,Cluster #0
92,7,1341.97,Cluster #2
154,2,703.72,Cluster #1
70,1,538.14,Cluster #1
186,1,446.08,Cluster #1
13,3,425.62,Cluster #0
17,8,4830.43,Cluster #2
1,4,2313.04,Cluster #2
35,1,168.6,Cluster #1
27,14,3933.55,Cluster #2
34,4,1909.68,Cluster #0
1,5,6853.86,Cluster #2
76,2,624.84,Cluster #0
259,1,78.0,Cluster #1
91,1,429.01000000000005,Cluster #1
1,17,2725.14,Cluster #2
6,2,1753.1200000000001,Cluster #0
358,1,155.55,Cluster #1
13,5,2382.56,Cluster #2
13,1,77.4,Cluster #1
49,1,734.36,Cluster #0
235,1,379.78999999999996,Cluster #1
36,1,283.95,Cluster #0
14,4,2733.84,Cluster #2
148,2,131.88,Cluster #1
2,5,5878.31,Cluster #2
8,1,287.67,Cluster #0
126,1,707.09,Cluster #1
48,1,66.4,Cluster #1
65,5,1201.8600000000001,Cluster #0
36,3,1663.24,Cluster #0
78,2,958.93,Cluster #0
63,2,612.38,Cluster #0
146,1,419.08,Cluster #1
10,2,657.8,Cluster #0
45,4,1155.38,Cluster #0
141,4,76.5,Cluster #1
9,2,621.49,Cluster #0
179,2,575.99,Cluster #1
2,25,7887.95,Cluster #2
24,7,5052.03,Cluster #2
45,3,2229.45,Cluster #0
9,18,6166.9,Cluster #2
45,1,561.9399999999999,Cluster #0
7,10,3530.83,Cluster #2
14,6,7057.34,Cluster #2
3,1,426.35,Cluster #0
20,4,2266.94,Cluster #2
14,10,3462.2,Cluster #2
9,7,1486.54,Cluster #2
27,4,3336.98,Cluster #2
1,3,952.1600000000001,Cluster #0
328,1,191.43,Cluster #1
9,9,3818.81,Cluster #2
30,1,350.75,Cluster #0
55,2,227.21,Cluster #1
157,2,332.91,Cluster #1
7,7,951.75,Cluster #2
73,1,20.4,Cluster #1
13,3,349.70000000000005,Cluster #0
41,7,497.89,Cluster #0
328,1,1866.66,Cluster #1
87,5,1511.32,Cluster #0
22,1,60.0,Cluster #1
224,1,57.6,Cluster #1
126,3,388.75,Cluster #1
18,2,398.27,Cluster #0
276,1,124.5,Cluster #1
134,2,620.05,Cluster #1
58,2,130.07999999999998,Cluster #1
104,1,520.04,Cluster #1
259,1,779.68,Cluster #1
345,1,190.8,Cluster #1
69,2,270.48,Cluster #1
20,4,2198.09,Cluster #2
20,4,1446.95,Cluster #0
55,1,252.84,Cluster #1
71,5,2061.56,Cluster #0
134,1,499.03,Cluster #1
31,2,152.72,Cluster #0
11,11,1277.91,Cluster #2
1,8,1719.21,Cluster #2
45,2,899.78,Cluster #0
73,3,296.71000000000004,Cluster #0
1,6,1121.63,Cluster #2
51,4,1051.42,Cluster #0
6,1,95.27,Cluster #0
22,1,297.33000000000004,Cluster #0
122,1,828.73,Cluster #1
83,2,577.85,Cluster #0
51,1,3659.97,Cluster #0
21,1,258.75,Cluster #0
14,4,4141.6,Cluster #2
11,17,7967.64,Cluster #2
21,3,721.38,Cluster #0
28,1,284.9,Cluster #0
67,2,698.8,Cluster #0
38,2,969.58,Cluster #0
189,2,151.79999999999998,Cluster #1
158,1,67.19999999999999,Cluster #1
71,1,748.88,Cluster #0
349,1,168.0,Cluster #1
31,1,165.47,Cluster #1
17,9,2760.6,Cluster #2
42,2,517.81,Cluster #0
311,1,301.41,Cluster #1
135,1,1153.46,Cluster #1
294,1,207.05,Cluster #1
14,6,2358.21,Cluster #2
253,1,336.15,Cluster #1
280,1,145.92,Cluster #1
78,1,222.13,Cluster #1
14,10,6673.58,Cluster #2
8,23,2330.57,Cluster #2
31,2,489.37,Cluster #0
43,1,340.29,Cluster #0
219,1,150.59,Cluster #1
307,1,162.55,Cluster #1
27,5,1225.31,Cluster #0
27,3,570.65,Cluster #0
13,2,2242.96,Cluster #0
70,1,329.12,Cluster #1
238,1,379.7,Cluster #1
31,1,169.76,Cluster #1
230,2,313.92,Cluster #1
10,14,4765.36,Cluster #2
9,7,967.5500000000001,Cluster #2
226,2,1212.95,Cluster #1
9,1,186.54000000000002,Cluster #0
31,1,79.65,Cluster #1
20,2,417.28,Cluster #0
203,1,877.26,Cluster #1
309,1,323.1,Cluster #1
84,2,350.6,Cluster #1
100,3,382.09999999999997,Cluster #0
38,8,2743.43,Cluster #2
43,2,288.27,Cluster #0
11,4,2544.07,Cluster #2
1,7,2103.43,Cluster #2
21,7,764.38,Cluster #2
20,9,1996.22,Cluster #2
181,5,371.51,Cluster #1
50,1,129.22,Cluster #1
13,1,1.0,Cluster #1
71,2,236.18,Cluster #1
52,1,1490.26,Cluster #0
70,3,846.11,Cluster #0
14,4,1479.6399999999999,Cluster #0
44,1,924.52,Cluster #0
66,1,654.0,Cluster #0
