Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Sum,Segment
31,6,3089.91,3,4,4,11,Champions
240,3,90.2,1,3,1,5,At Risk
10,1,999.15,4,1,3,8,Potential Loyalist
302,1,294.4,1,1,2,4,Lost
28,7,1130.94,3,4,4,11,Champions
195,1,29.300000000000004,1,1,1,3,Lost
224,1,682.69,1,1,3,5,At Risk
206,1,219.0,1,1,2,4,Lost
237,2,1086.56,1,2,3,6,At Risk
25,1,3315.41,3,1,4,8,Potential Loyalist
142,1,369.06,2,1,2,5,At Risk
49,4,3224.13,3,3,4,10,Loyal Customers
44,3,1843.16,3,3,4,10,Loyal Customers
279,1,174.9,1,1,1,3,Lost
27,9,3655.7,3,4,4,11,Champions
101,2,484.5,2,2,3,7,Potential Loyalist
32,2,810.96,3,2,3,8,Potential Loyalist
283,1,307.94,1,1,2,4,Lost
43,4,2602.41,3,3,4,10,Loyal Customers
51,1,1300.46,2,1,4,7,Potential Loyalist
63,3,938.34,2,3,3,8,Potential Loyalist
303,1,299.1,1,1,2,4,Lost
17,1,531.73,4,1,3,8,Potential Loyalist
2,2,283.3,4,2,2,8,Potential Loyalist
307,2,1472.52,1,2,4,7,Potential Loyalist
121,1,3396.64,2,1,4,7,Potential Loyalist
73,2,736.44,2,2,3,7,Potential Loyalist
13,4,1738.25,4,3,4,11,Champions
25,4,1159.2,3,3,4,10,Loyal Customers
176,5,1211.84,1,4,4,9,Loyal Customers
20,2,286.32,3,2,2,7,Potential Loyalist
358,1,215.7,1,1,2,4,Lost
7,6,2466.7000000000003,4,4,4,12,Champions
71,1,407.74,2,1,2,5,At Risk
13,1,428.11,4,1,2,7,Potential Loyalist
64,4,1193.5,2,3,4,9,Loyal Customers
209,1,331.18,1,1,2,4,Lost
11,12,1844.57,4,4,4,12,Champions
27,2,1720.01,3,2,4,9,Loyal Customers
37,1,1349.44,3,1,4,8,Potential Loyalist
111,4,729.15,2,3,3,8,Potential Loyalist
295,1,32.85,1,1,1,3,Lost
315,1,195.6,1,1,1,3,Lost
41,1,92.9,3,1,1,5,At Risk
140,1,1104.8700000000001,2,1,3,6,At Risk
13,2,2871.78,4,2,4,10,Loyal Customers
41,5,1085.01,3,4,3,10,Loyal Customers
24,5,1869.47,3,4,4,11,Champions
70,3,1646.79,2,3,4,9,Loyal Customers
300,1,274.23,1,1,2,4,Lost
66,3,1115.04,2,3,4,9,Loyal Customers
58,3,545.2,2,3,3,8,Potential Loyalist
209,3,343.65,1,3,2,6,At Risk
16,11,3756.06,4,4,4,12,Champions
31,8,1931.8700000000001,3,4,4,11,Champions
104,1,418.16,2,1,2,5,At Risk
55,1,380.3,2,1,2,5,At Risk
7,4,607.57,4,3,3,10,Loyal Customers
87,3,645.3100000000001,2,3,3,8,Potential Loyalist
92,7,1341.97,2,4,4,10,Loyal Customers
154,2,703.72,1,2,3,6,At Risk
70,1,538.14,2,1,3,6,At Risk
186,1,446.08,1,1,2,4,Lost
13,3,425.62,4,3,2,9,Loyal Customers
17,8,4830.43,4,4,4,12,Champions
1,4,2313.04,4,3,4,11,Champions
35,1,168.6,3,1,1,5,At Risk
27,14,3933.55,3,4,4,11,Champions
34,4,1909.68,3,3,4,10,Loyal Customers
1,5,6853.86,4,4,4,12,Champions
76,2,624.84,2,2,3,7,Potential Loyalist
259,1,78.0,1,1,1,3,Lost
91,1,429.01000000000005,2,1,2,5,At Risk
1,17,2725.14,4,4,4,12,Champions
6,2,1753.1200000000001,4,2,4,10,Loyal Customers
358,1,155.55,1,1,1,3,Lost
13,5,2382.56,4,4,4,12,Champions
13,1,77.4,4,1,1,6,At Risk
49,1,734.36,3,1,3,7,Potential Loyalist
235,1,379.78999999999996,1,1,2,4,Lost
36,1,283.95,3,1,2,6,At Risk
14,4,2733.84,4,3,4,11,Champions
148,2,131.88,1,2,1,4,Lost
2,5,5878.31,4,4,4,12,Champions
8,1,287.67,4,1,2,7,Potential Loyalist
126,1,707.09,2,1,3,6,At Risk
48,1,66.4,3,1,1,5,At Risk
65,5,1201.8600000000001,2,4,4,10,Loyal Customers
36,3,1663.24,3,3,4,10,Loyal Customers
78,2,958.93,2,2,3,7,Potential Loyalist
63,2,612.38,2,2,3,7,Potential Loyalist
146,1,419.08,1,1,2,4,Lost
10,2,657.8,4,2,3,9,Loyal Customers
45,4,1155.38,3,3,4,10,Loyal Customers
141,4,76.5,2,3,1,6,At Risk
9,2,621.49,4,2,3,9,Loyal Customers
179,2,575.99,1,2,3,6,At Risk
2,25,7887.95,4,4,4,12,Champions
24,7,5052.03,3,4,4,11,Champions
45,3,2229.45,3,3,4,10,Loyal Customers
9,18,6166.9,4,4,4,12,Champions
45,1,561.9399999999999,3,1,3,7,Potential Loyalist
7,10,3530.83,4,4,4,12,Champions
14,6,7057.34,4,4,4,12,Champions
3,1,426.35,4,1,2,7,Potential Loyalist
20,4,2266.94,3,3,4,10,Loyal Customers
14,10,3462.2,4,4,4,12,Champions
9,7,1486.54,4,4,4,12,Champions
27,4,3336.98,3,3,4,10,Loyal Customers
1,3,952.1600000000001,4,3,3,10,Loyal Customers
328,1,191.43,1,1,1,3,Lost
9,9,3818.81,4,4,4,12,Champions
30,1,350.75,3,1,2,6,At Risk
55,2,227.21,2,2,2,6,At Risk
157,2,332.91,1,2,2,5,At Risk
7,7,951.75,4,4,3,11,Champions
73,1,20.4,2,1,1,4,Lost
13,3,349.70000000000005,4,3,2,9,Loyal Customers
41,7,497.89,3,4,3,10,Loyal Customers
328,1,1866.66,1,1,4,6,At Risk
87,5,1511.32,2,4,4,10,Loyal Customers
22,1,60.0,3,1,1,5,At Risk
224,1,57.6,1,1,1,3,Lost
126,3,388.75,2,3,2,7,Potential Loyalist
18,2,398.27,3,2,2,7,Potential Loyalist
276,1,124.5,1,1,1,3,Lost
134,2,620.05,2,2,3,7,Potential Loyalist
58,2,130.07999999999998,2,2,1,5,At Risk
104,1,520.04,2,1,3,6,At Risk
259,1,779.68,1,1,3,5,At Risk
345,1,190.8,1,1,1,3,Lost
69,2,270.48,2,2,2,6,At Risk
20,4,2198.09,3,3,4,10,Loyal Customers
20,4,1446.95,3,3,4,10,Loyal Customers
55,1,252.84,2,1,2,5,At Risk
71,5,2061.56,2,4,4,10,Loyal Customers
134,1,499.03,2,1,3,6,At Risk
31,2,152.72,3,2,1,6,At Risk
11,11,1277.91,4,4,4,12,Champions
1,8,1719.21,4,4,4,12,Champions
45,2,899.78,3,2,3,8,Potential Loyalist
73,3,296.71000000000004,2,3,2,7,Potential Loyalist
1,6,1121.63,4,4,4,12,Champions
51,4,1051.42,2,3,3,8,Potential Loyalist
6,1,95.27,4,1,1,6,At Risk
22,1,297.33000000000004,3,1,2,6,At Risk
122,1,828.73,2,1,3,6,At Risk
83,2,577.85,2,2,3,7,Potential Loyalist
51,1,3659.97,2,1,4,7,Potential Loyalist
21,1,258.75,3,1,2,6,At Risk
14,4,4141.6,4,3,4,11,Champions
11,17,7967.64,4,4,4,12,Champions
21,3,721.38,3,3,3,9,Loyal Customers
28,1,284.9,3,1,2,6,At Risk
67,2,698.8,2,2,3,7,Potential Loyalist
38,2,969.58,3,2,3,8,Potential Loyalist
189,2,151.79999999999998,1,2,1,4,Lost
158,1,67.19999999999999,1,1,1,3,Lost
71,1,748.88,2,1,3,6,At Risk
349,1,168.0,1,1,1,3,Lost
31,1,165.47,3,1,1,5,At Risk
17,9,2760.6,4,4,4,12,Champions
42,2,517.81,3,2,3,8,Potential Loyalist
311,1,301.41,1,1,2,4,Lost
135,1,1153.46,2,1,4,7,Potential Loyalist
294,1,207.05,1,1,2,4,Lost
14,6,2358.21,4,4,4,12,Champions
253,1,336.15,1,1,2,4,Lost
280,1,145.92,1,1,1,3,Lost
78,1,222.13,2,1,2,5,At Risk
14,10,6673.58,4,4,4,12,Champions
8,23,2330.57,4,4,4,12,Champions
31,2,489.37,3,2,3,8,Potential Loyalist
43,1,340.29,3,1,2,6,At Risk
219,1,150.59,1,1,1,3,Lost
307,1,162.55,1,1,1,3,Lost
27,5,1225.31,3,4,4,11,Champions
27,3,570.65,3,3,3,9,Loyal Customers
13,2,2242.96,4,2,4,10,Loyal Customers
70,1,329.12,2,1,2,5,At Risk
238,1,379.7,1,1,2,4,Lost
31,1,169.76,3,1,1,5,At Risk
230,2,313.92,1,2,2,5,At Risk
10,14,4765.36,4,4,4,12,Champions
9,7,967.5500000000001,4,4,3,11,Champions
226,2,1212.95,1,2,4,7,Potential Loyalist
9,1,186.54000000000002,4,1,1,6,At Risk
31,1,79.65,3,1,1,5,At Risk
20,2,417.28,3,2,2,7,Potential Loyalist
203,1,877.26,1,1,3,5,At Risk
309,1,323.1,1,1,2,4,Lost
84,2,350.6,2,2,2,6,At Risk
100,3,382.09999999999997,2,3,2,7,Potential Loyalist
38,8,2743.43,3,4,4,11,Champions
43,2,288.27,3,2,2,7,Potential Loyalist
11,4,2544.07,4,3,4,11,Champions
1,7,2103.43,4,4,4,12,Champions
21,7,764.38,3,4,3,10,Loyal Customers
20,9,1996.22,3,4,4,11,Champions
181,5,371.51,1,4,2,7,Potential Loyalist
50,1,129.22,2,1,1,4,Lost
13,1,1.0,4,1,1,6,At Risk
71,2,236.18,2,2,2,6,At Risk
52,1,1490.26,2,1,4,7,Potential Loyalist
70,3,846.11,2,3,3,8,Potential Loyalist
14,4,1479.6399999999999,4,3,4,11,Champions
44,1,924.52,3,1,3,7,Potential Loyalist
66,1,654.0,2,1,3,6,At Risk
49,4,2886.4,3,3,4,10,Loyal Customers
269,1,218.15,1,1,2,4,Lost
28,3,1253.26,3,3,4,10,Loyal Customers
87,2,386.79999999999995,2,2,2,6,At Risk
21,1,335.63,3,1,2,6,At Risk
13,1,121.41,4,1,1,6,At Risk
8,8,681.02,4,4,3,11,Champions
6,3,1100.1399999999999,4,3,3,10,Loyal Customers
15,18,6842.74,4,4,4,12,Champions
224,1,123.85,1,1,1,3,Lost
268,1,269.1,1,1,2,4,Lost
98,2,492.78,2,2,3,7,Potential Loyalist
203,2,1625.82,1,2,4,7,Potential Loyalist
15,9,4945.49,4,4,4,12,Champions
2,6,3675.3,4,4,4,12,Champions
25,2,468.21,3,2,3,8,Potential Loyalist
1,2,905.08,4,2,3,9,Loyal Customers
49,1,396.0,3,1,2,6,At Risk
50,4,1379.94,2,3,4,9,Loyal Customers
81,2,1357.69,2,2,4,8,Potential Loyalist
59,8,5075.84,2,4,4,10,Loyal Customers
25,1,498.25,3,1,3,7,Potential Loyalist
230,1,325.3,1,1,2,4,Lost
15,3,609.53,4,3,3,10,Loyal Customers
107,1,128.9,2,1,1,4,Lost
17,3,743.77,4,3,3,10,Loyal Customers
212,2,73.28,1,2,1,4,Lost
121,1,417.12,2,1,2,5,At Risk
25,4,1406.18,3,3,4,10,Loyal Customers
41,1,316.48,3,1,2,6,At Risk
14,12,1843.87,4,4,4,12,Champions
146,1,255.3,1,1,2,4,Lost
99,3,513.0500000000001,2,3,3,8,Potential Loyalist
326,1,114.0,1,1,1,3,Lost
323,1,732.28,1,1,3,5,At Risk
140,2,752.81,2,2,3,7,Potential Loyalist
2,5,499.33,4,4,3,11,Champions
9,5,1873.35,4,4,4,12,Champions
3,3,623.0,4,3,3,10,Loyal Customers
10,1,535.4,4,1,3,8,Potential Loyalist
21,1,45.6,3,1,1,5,At Risk
3,1,203.7,4,1,1,6,At Risk
15,10,3098.38,4,4,4,12,Champions
50,4,406.8,2,3,2,7,Potential Loyalist
316,1,45.0,1,1,1,3,Lost
50,1,410.23,2,1,2,5,At Risk
3,4,2666.0,4,3,4,11,Champions
142,2,1319.92,2,2,4,8,Potential Loyalist
2,5,2087.47,4,4,4,12,Champions
321,1,162.29999999999998,1,1,1,3,Lost
318,1,182.8,1,1,1,3,Lost
30,4,1289.54,3,3,4,10,Loyal Customers
16,6,1031.39,4,4,3,11,Champions
34,8,1359.8,3,4,4,11,Champions
275,1,639.86,1,1,3,5,At Risk
65,3,487.52,2,3,3,8,Potential Loyalist
6,21,9584.4,4,4,4,12,Champions
1,29,7928.86,4,4,4,12,Champions
42,13,4641.93,3,4,4,11,Champions
